AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,WAR,WAR,W%,B_index,LV2,wOBA,WAR,WAR
Cardinals,Padres,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.419753086,48.5,26.19,0.297,8.7,11.6
Marlins,Giants,W,0.49068323,46.1,28.77,0.309,14.5,20,0.537037037,43.5,28.27,0.315,17.2,26.8
Mariners,Angels,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.456790123,42.4,25.16,0.314,6.7,20.7
Rays,Yankees,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.518518519,44.8,30.4,0.311,18.2,14.6
Athletics,BlueJays,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.549382716,46.7,28.14,0.327,19,23.7
Cubs,Reds,L,0.635802469,46.7,30.36,0.333,20.6,38,0.419753086,46.7,26.46,0.311,-1.4,15.9
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.534161491,48,27.31,0.33,17.4,19.4
Twins,Nationals,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.586419753,45.8,31.17,0.322,23.2,23
Mets,Braves,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.422360248,45.5,26.35,0.304,8.9,10
Phillies,Brewers,W,0.438271605,47,28.53,0.296,13.6,10.2,0.450617284,49.9,25.31,0.315,12.5,12.3
Rangers,WhiteSox,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.481481481,46.7,27.06,0.314,15.9,16.4
Orioles,Royals,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.5,46.3,27.5,0.307,9.9,14.6
Mariners,Angels,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.456790123,42.4,25.16,0.314,6.7,20.7
Marlins,Giants,L,0.49068323,46.1,28.77,0.309,14.5,20,0.537037037,43.5,28.27,0.315,17.2,26.8
Dodgers,Rockies,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.462962963,48.8,26.66,0.339,13.5,17.5
Cardinals,Padres,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.419753086,48.5,26.19,0.297,8.7,11.6
RedSox,Astros,L,0.574074074,46.6,29.18,0.346,18.1,35,0.518518519,48.1,29.74,0.317,20.1,20.6
WhiteSox,BlueJays,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,46.7,28.14,0.327,19,23.7
Orioles,Rays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.419753086,48.8,29.26,0.315,12.2,17.3
RedSox,Braves,L,0.574074074,46.6,29.18,0.346,18.1,35,0.422360248,45.5,26.35,0.304,8.9,10
Reds,Mets,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.537037037,45.9,29.76,0.315,24.4,20.5
Athletics,Tigers,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.534161491,48,27.31,0.33,17.4,19.4
Yankees,Rangers,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.586419753,46.2,25.24,0.324,10.1,18.7
Indians,Twins,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.364197531,47.9,26.48,0.317,8.5,12.5
Pirates,Rockies,L,0.481481481,47,26.13,0.318,9.2,17.3,0.462962963,48.8,26.66,0.339,13.5,17.5
Royals,Angels,W,0.5,46.3,27.5,0.307,9.9,14.6,0.456790123,42.4,25.16,0.314,6.7,20.7
Astros,Mariners,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.561728395,46.3,32.05,0.314,22.7,24.2
Padres,Giants,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.537037037,43.5,28.27,0.315,17.2,26.8
Phillies,Nationals,L,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
WhiteSox,BlueJays,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,46.7,28.14,0.327,19,23.7
Orioles,Rays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.419753086,48.8,29.26,0.315,12.2,17.3
RedSox,Braves,L,0.574074074,46.6,29.18,0.346,18.1,35,0.422360248,45.5,26.35,0.304,8.9,10
Reds,Mets,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.537037037,45.9,29.76,0.315,24.4,20.5
Athletics,Tigers,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.534161491,48,27.31,0.33,17.4,19.4
Brewers,Cubs,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.635802469,46.7,30.36,0.333,20.6,38
Yankees,Rangers,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.586419753,46.2,25.24,0.324,10.1,18.7
Indians,Twins,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.364197531,47.9,26.48,0.317,8.5,12.5
Pirates,Rockies,L,0.481481481,47,26.13,0.318,9.2,17.3,0.462962963,48.8,26.66,0.339,13.5,17.5
Royals,Angels,W,0.5,46.3,27.5,0.307,9.9,14.6,0.456790123,42.4,25.16,0.314,6.7,20.7
Astros,Mariners,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.561728395,46.3,32.05,0.314,22.7,24.2
Padres,Giants,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.537037037,43.5,28.27,0.315,17.2,26.8
Padres,Giants,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.537037037,43.5,28.27,0.315,17.2,26.8
Phillies,Nationals,L,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
WhiteSox,BlueJays,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,46.7,28.14,0.327,19,23.7
Braves,RedSox,W,0.422360248,45.5,26.35,0.304,8.9,10,0.574074074,46.6,29.18,0.346,18.1,35
Orioles,Rays,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.419753086,48.8,29.26,0.315,12.2,17.3
Reds,Mets,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.537037037,45.9,29.76,0.315,24.4,20.5
Athletics,Tigers,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.534161491,48,27.31,0.33,17.4,19.4
Yankees,Rangers,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.586419753,46.2,25.24,0.324,10.1,18.7
Indians,Twins,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.364197531,47.9,26.48,0.317,8.5,12.5
Pirates,Rockies,L,0.481481481,47,26.13,0.318,9.2,17.3,0.462962963,48.8,26.66,0.339,13.5,17.5
Royals,Angels,W,0.5,46.3,27.5,0.307,9.9,14.6,0.456790123,42.4,25.16,0.314,6.7,20.7
Astros,Mariners,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.561728395,46.3,32.05,0.314,22.7,24.2
Athletics,Tigers,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.534161491,48,27.31,0.33,17.4,19.4
Brewers,Cubs,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.635802469,46.7,30.36,0.333,20.6,38
Phillies,Nationals,L,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
WhiteSox,Orioles,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,47.3,26.91,0.326,15.4,20.2
Braves,RedSox,L,0.422360248,45.5,26.35,0.304,8.9,10,0.574074074,46.6,29.18,0.346,18.1,35
Marlins,Dodgers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.561728395,46.3,32.05,0.314,22.7,24.2
Braves,Cubs,W,0.422360248,45.5,26.35,0.304,8.9,10,0.635802469,46.7,30.36,0.333,20.6,38
WhiteSox,Orioles,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,47.3,26.91,0.326,15.4,20.2
Reds,Pirates,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.481481481,47,26.13,0.318,9.2,17.3
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.438271605,47,28.53,0.296,13.6,10.2
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.574074074,46.6,29.18,0.346,18.1,35
Giants,Mets,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.537037037,45.9,29.76,0.315,24.4,20.5
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,19,23.7,0.419753086,48.8,29.26,0.315,12.2,17.3
Angels,Rangers,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.586419753,46.2,25.24,0.324,10.1,18.7
Tigers,Twins,L,0.534161491,48,27.31,0.33,17.4,19.4,0.364197531,47.9,26.48,0.317,8.5,12.5
Marlins,Brewers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.450617284,49.9,25.31,0.315,12.5,12.3
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.530864198,46.7,27.7,0.329,17.4,22.3
Astros,Athletics,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.425925926,43.6,26.37,0.302,12.2,2.7
Royals,Mariners,W,0.5,46.3,27.5,0.307,9.9,14.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Padres,Dodgers,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.561728395,46.3,32.05,0.314,22.7,24.2
Tigers,Twins,L,0.534161491,48,27.31,0.33,17.4,19.4,0.364197531,47.9,26.48,0.317,8.5,12.5
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.530864198,46.7,27.7,0.329,17.4,22.3
Astros,Athletics,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.425925926,43.6,26.37,0.302,12.2,2.7
Giants,Mets,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.537037037,45.9,29.76,0.315,24.4,20.5
BlueJays,Rays,W,0.549382716,46.7,28.14,0.327,19,23.7,0.419753086,48.8,29.26,0.315,12.2,17.3
WhiteSox,Orioles,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,47.3,26.91,0.326,15.4,20.2
Reds,Pirates,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.481481481,47,26.13,0.318,9.2,17.3
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.438271605,47,28.53,0.296,13.6,10.2
Marlins,Brewers,L,0.49068323,46.1,28.77,0.309,14.5,20,0.450617284,49.9,25.31,0.315,12.5,12.3
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.574074074,46.6,29.18,0.346,18.1,35
Angels,Rangers,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.586419753,46.2,25.24,0.324,10.1,18.7
Padres,Dodgers,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.561728395,46.3,32.05,0.314,22.7,24.2
Royals,Mariners,W,0.5,46.3,27.5,0.307,9.9,14.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Giants,Mets,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.537037037,45.9,29.76,0.315,24.4,20.5
BlueJays,Rays,L,0.549382716,46.7,28.14,0.327,19,23.7,0.419753086,48.8,29.26,0.315,12.2,17.3
WhiteSox,Orioles,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.549382716,47.3,26.91,0.326,15.4,20.2
Reds,Pirates,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.481481481,47,26.13,0.318,9.2,17.3
Tigers,Twins,L,0.534161491,48,27.31,0.33,17.4,19.4,0.364197531,47.9,26.48,0.317,8.5,12.5
Marlins,Brewers,W,0.49068323,46.1,28.77,0.309,14.5,20,0.450617284,49.9,25.31,0.315,12.5,12.3
Nationals,Cardinals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.530864198,46.7,27.7,0.329,17.4,22.3
Braves,Cubs,L,0.422360248,45.5,26.35,0.304,8.9,10,0.635802469,46.7,30.36,0.333,20.6,38
Indians,Phillies,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.438271605,47,28.53,0.296,13.6,10.2
Angels,Rangers,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.586419753,46.2,25.24,0.324,10.1,18.7
Astros,Athletics,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.425925926,43.6,26.37,0.302,12.2,2.7
Royals,Mariners,L,0.5,46.3,27.5,0.307,9.9,14.6,0.530864198,46.6,28.27,0.325,12.9,20.9
Padres,Dodgers,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.561728395,46.3,32.05,0.314,22.7,24.2
Yankees,RedSox,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.574074074,46.6,29.18,0.346,18.1,35
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,20.6,38,0.481481481,47,26.13,0.318,9.2,17.3
Rangers,BlueJays,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.549382716,46.7,28.14,0.327,19,23.7
Braves,Mets,W,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
Giants,Reds,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,46.7,26.46,0.311,-1.4,15.9
Angels,Brewers,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.450617284,49.9,25.31,0.315,12.5,12.3
Twins,Astros,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.518518519,48.1,29.74,0.317,20.1,20.6
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.530864198,46.7,27.7,0.329,17.4,22.3
Nationals,Royals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.5,46.3,27.5,0.307,9.9,14.6
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.425925926,43.6,26.37,0.302,12.2,2.7
Rockies,Padres,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.419753086,48.5,26.19,0.297,8.7,11.6
Tigers,Indians,W,0.534161491,48,27.31,0.33,17.4,19.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,20.6,38,0.481481481,47,26.13,0.318,9.2,17.3
Yankees,Orioles,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.549382716,46.7,28.14,0.327,19,23.7
Braves,Mets,L,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
Dodgers,Rays,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.419753086,48.8,29.26,0.315,12.2,17.3
Giants,Reds,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,46.7,26.46,0.311,-1.4,15.9
RedSox,WhiteSox,W,0.574074074,46.6,29.18,0.346,18.1,35,0.481481481,46.7,27.06,0.314,15.9,16.4
Angels,Brewers,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.450617284,49.9,25.31,0.315,12.5,12.3
Twins,Astros,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.518518519,48.1,29.74,0.317,20.1,20.6
Phillies,Cardinals,L,0.438271605,47,28.53,0.296,13.6,10.2,0.530864198,46.7,27.7,0.329,17.4,22.3
Nationals,Royals,W,0.586419753,45.8,31.17,0.322,23.2,23,0.5,46.3,27.5,0.307,9.9,14.6
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.425925926,43.6,26.37,0.302,12.2,2.7
Rockies,Padres,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.419753086,48.5,26.19,0.297,8.7,11.6
Cubs,Pirates,L,0.635802469,46.7,30.36,0.333,20.6,38,0.481481481,47,26.13,0.318,9.2,17.3
Giants,Reds,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,46.7,26.46,0.311,-1.4,15.9
Braves,Mets,W,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
Angels,Brewers,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.450617284,49.9,25.31,0.315,12.5,12.3
Nationals,Royals,L,0.586419753,45.8,31.17,0.322,23.2,23,0.5,46.3,27.5,0.307,9.9,14.6
Mariners,Athletics,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.425925926,43.6,26.37,0.302,12.2,2.7
Rockies,Padres,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.419753086,48.5,26.19,0.297,8.7,11.6
Tigers,Indians,W,0.534161491,48,27.31,0.33,17.4,19.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Yankees,Orioles,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.549382716,46.7,28.14,0.327,19,23.7
Dodgers,Rays,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.419753086,48.8,29.26,0.315,12.2,17.3
RedSox,WhiteSox,L,0.574074074,46.6,29.18,0.346,18.1,35,0.481481481,46.7,27.06,0.314,15.9,16.4
Twins,Astros,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.518518519,48.1,29.74,0.317,20.1,20.6
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.530864198,46.7,27.7,0.329,17.4,22.3
Phillies,Cardinals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.530864198,46.7,27.7,0.329,17.4,22.3
Tigers,Indians,W,0.534161491,48,27.31,0.33,17.4,19.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Yankees,Orioles,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Rangers,BlueJays,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.549382716,46.7,28.14,0.327,19,23.7
Brewers,Reds,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,23.2,23,0.635802469,46.7,30.36,0.333,20.6,38
RedSox,WhiteSox,L,0.574074074,46.6,29.18,0.346,18.1,35,0.481481481,46.7,27.06,0.314,15.9,16.4
Mariners,Astros,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Mets,Padres,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.419753086,48.5,26.19,0.297,8.7,11.6
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.537037037,43.5,28.27,0.315,17.2,26.8
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,23.2,23,0.635802469,46.7,30.36,0.333,20.6,38
RedSox,Yankees,W,0.574074074,46.6,29.18,0.346,18.1,35,0.518518519,44.8,30.4,0.311,18.2,14.6
Dodgers,BlueJays,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.549382716,46.7,28.14,0.327,19,23.7
Royals,Indians,W,0.5,46.3,27.5,0.307,9.9,14.6,0.583850932,46.4,30.09,0.326,18.7,26.7
Brewers,Reds,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Phillies,Marlins,W,0.438271605,47,28.53,0.296,13.6,10.2,0.49068323,46.1,28.77,0.309,14.5,20
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.534161491,48,27.31,0.33,17.4,19.4
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.481481481,46.7,27.06,0.314,15.9,16.4
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,9.2,17.3,0.530864198,46.7,27.7,0.329,17.4,22.3
Rays,Angels,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.456790123,42.4,25.16,0.314,6.7,20.7
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.537037037,43.5,28.27,0.315,17.2,26.8
Mets,Padres,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.419753086,48.5,26.19,0.297,8.7,11.6
RedSox,Yankees,W,0.574074074,46.6,29.18,0.346,18.1,35,0.518518519,44.8,30.4,0.311,18.2,14.6
Athletics,Orioles,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Athletics,Orioles,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Dodgers,BlueJays,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.549382716,46.7,28.14,0.327,19,23.7
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.534161491,48,27.31,0.33,17.4,19.4
Pirates,Cardinals,W,0.481481481,47,26.13,0.318,9.2,17.3,0.530864198,46.7,27.7,0.329,17.4,22.3
Rockies,Giants,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.537037037,43.5,28.27,0.315,17.2,26.8
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,23.2,23,0.635802469,46.7,30.36,0.333,20.6,38
Royals,Indians,L,0.5,46.3,27.5,0.307,9.9,14.6,0.583850932,46.4,30.09,0.326,18.7,26.7
Brewers,Reds,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.481481481,46.7,27.06,0.314,15.9,16.4
Phillies,Marlins,L,0.438271605,47,28.53,0.296,13.6,10.2,0.49068323,46.1,28.77,0.309,14.5,20
Mariners,Astros,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Mets,Padres,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.419753086,48.5,26.19,0.297,8.7,11.6
Rays,Angels,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.456790123,42.4,25.16,0.314,6.7,20.7
Dodgers,BlueJays,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.549382716,46.7,28.14,0.327,19,23.7
Royals,Indians,W,0.5,46.3,27.5,0.307,9.9,14.6,0.583850932,46.4,30.09,0.326,18.7,26.7
Brewers,Reds,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Phillies,Marlins,L,0.438271605,47,28.53,0.296,13.6,10.2,0.49068323,46.1,28.77,0.309,14.5,20
Rangers,Tigers,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.534161491,48,27.31,0.33,17.4,19.4
Athletics,Orioles,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Twins,WhiteSox,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.481481481,46.7,27.06,0.314,15.9,16.4
Mariners,Astros,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Pirates,Cardinals,L,0.481481481,47,26.13,0.318,9.2,17.3,0.530864198,46.7,27.7,0.329,17.4,22.3
Nationals,Cubs,W,0.586419753,45.8,31.17,0.322,23.2,23,0.635802469,46.7,30.36,0.333,20.6,38
Rays,Angels,L,0.419753086,48.8,29.26,0.315,12.2,17.3,0.456790123,42.4,25.16,0.314,6.7,20.7
Rockies,Giants,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.537037037,43.5,28.27,0.315,17.2,26.8
Mets,Padres,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.419753086,48.5,26.19,0.297,8.7,11.6
RedSox,Yankees,L,0.574074074,46.6,29.18,0.346,18.1,35,0.518518519,44.8,30.4,0.311,18.2,14.6
Tigers,Nationals,W,0.534161491,48,27.31,0.33,17.4,19.4,0.586419753,45.8,31.17,0.322,23.2,23
Royals,Yankees,W,0.5,46.3,27.5,0.307,9.9,14.6,0.518518519,44.8,30.4,0.311,18.2,14.6
Brewers,Marlins,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.49068323,46.1,28.77,0.309,14.5,20
Athletics,RedSox,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.574074074,46.6,29.18,0.346,18.1,35
Pirates,Reds,W,0.481481481,47,26.13,0.318,9.2,17.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
WhiteSox,Rangers,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.586419753,46.2,25.24,0.324,10.1,18.7
Indians,Astros,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Mets,Dodgers,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.561728395,46.3,32.05,0.314,22.7,24.2
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.530864198,46.6,28.27,0.325,12.9,20.9
BlueJays,Giants,L,0.549382716,46.7,28.14,0.327,19,23.7,0.537037037,43.5,28.27,0.315,17.2,26.8
Tigers,Nationals,L,0.534161491,48,27.31,0.33,17.4,19.4,0.586419753,45.8,31.17,0.322,23.2,23
Royals,Yankees,W,0.5,46.3,27.5,0.307,9.9,14.6,0.518518519,44.8,30.4,0.311,18.2,14.6
Brewers,Marlins,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.49068323,46.1,28.77,0.309,14.5,20
Athletics,RedSox,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.574074074,46.6,29.18,0.346,18.1,35
Phillies,Braves,L,0.438271605,47,28.53,0.296,13.6,10.2,0.422360248,45.5,26.35,0.304,8.9,10
WhiteSox,Rangers,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.586419753,46.2,25.24,0.324,10.1,18.7
Padres,Cubs,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.635802469,46.7,30.36,0.333,20.6,38
Orioles,Twins,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.364197531,47.9,26.48,0.317,8.5,12.5
Indians,Astros,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Cardinals,Angels,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.456790123,42.4,25.16,0.314,6.7,20.7
Mets,Dodgers,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.561728395,46.3,32.05,0.314,22.7,24.2
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.530864198,46.6,28.27,0.325,12.9,20.9
BlueJays,Giants,L,0.549382716,46.7,28.14,0.327,19,23.7,0.537037037,43.5,28.27,0.315,17.2,26.8
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.635802469,46.7,30.36,0.333,20.6,38
Padres,Cubs,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.635802469,46.7,30.36,0.333,20.6,38
Orioles,Twins,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.364197531,47.9,26.48,0.317,8.5,12.5
WhiteSox,Rangers,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.586419753,46.2,25.24,0.324,10.1,18.7
Indians,Astros,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Rays,Mariners,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.530864198,46.6,28.27,0.325,12.9,20.9
BlueJays,Giants,W,0.549382716,46.7,28.14,0.327,19,23.7,0.537037037,43.5,28.27,0.315,17.2,26.8
