AWAY,HOME,HOME_TEAM_RESULT,W%,Off,K%,AVG,P_Index,B_index
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Astros,Tigers,L,0.015642972,15.5,-2.1,0.02,-2.02,-0.1
Twins,Yankees,L,0.154320988,-18.7,-3.2,0.001,3.27,-3.1
Phillies,RedSox,W,0.135802469,258.1,-4.6,0.042,0.66,-0.4
Cardinals,Marlins,W,-0.040180968,-73.8,-1.4,0.008,1.47,-0.6
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Nationals,Mets,D,-0.049382716,-17.4,1.1,-0.01,-1.44,0.1
Astros,Padres,W,-0.098765432,-78.6,1.6,-0.012,-2.62,0.4
WhiteSox,Giants,L,0.055555556,5.3,-3.3,0.001,0.67,-3.2
Reds,Dodgers,L,0.141975309,61.9,0.3,-0.007,4.29,-0.4
Royals,Athletics,W,-0.074074074,-17.2,-1.2,-0.015,-1.2,-2.7
Brewers,Indians,W,0.133233648,89.1,-5.3,0.018,3.96,-3.5
Mariners,Cubs,L,0.104938272,17.6,0.4,-0.003,2.05,0.1
Angels,Padres,L,-0.037037037,-53.1,8.6,-0.025,1.16,6.1
Orioles,Pirates,L,-0.067901235,-46.3,-0.4,0.001,-0.8,-0.3
Orioles,RedSox,L,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Twins,Pirates,L,0.117283951,0,-1.5,0.006,-0.17,-0.9
Mets,Cardinals,W,-0.00617284,44.4,-0.1,0.009,-1.6,0.8
Phillies,BlueJays,W,0.111111111,153.7,-1.1,0.008,-0.45,-0.3
Indians,Athletics,L,-0.157925006,-131.5,-1.2,-0.016,-3.25,-2.8
Padres,Royals,W,0.080246914,-5.9,-4.8,0.026,0.97,-2.2
Cubs,Angels,D,-0.179012346,-81.6,-4.7,0.004,-4.57,-4.3
WhiteSox,Rockies,L,-0.018518519,-14.1,0.3,0.018,-0.2,2.1
Royals,Mariners,W,0.030864198,123,0.5,-0.002,0.39,0.3
Astros,Braves,L,-0.09615827,-109.6,-3.4,0.008,-2.55,-2.6
Tigers,Yankees,W,-0.015642972,-61.5,-1.7,-0.015,2.62,-3.2
Brewers,Reds,W,-0.030864198,-20.2,-4.4,0.012,1.41,-3.2
Rangers,Dodgers,W,-0.024691358,-3.2,1.4,-0.013,5.72,0.1
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031,-2.41,1.3
Pirates,Yankees,W,0.037037037,-18.7,-1.7,-0.005,3.44,-2.2
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017,0.13,-0.2
Indians,Angels,D,-0.127060808,-55.3,-3.8,-0.002,-4.18,-4
Reds,Brewers,L,0.030864198,20.2,4.4,-0.012,-1.41,3.2
Athletics,Cubs,W,0.209876543,157.8,2.1,0.01,3.64,3.1
Rangers,WhiteSox,W,-0.104938272,-14.7,1,-0.005,1.54,0.5
Dodgers,Padres,W,-0.141975309,-61,3.6,-0.014,-4.76,2.2
Braves,Orioles,D,0.127022468,128.6,1.7,0.001,0.51,1.8
Giants,Royals,W,-0.037037037,-60.7,2.5,0.003,-0.28,2.8
Mariners,Indians,W,0.052986734,-8.7,-0.5,0.003,1.66,-0.2
Nationals,Mets,L,-0.049382716,-17.4,1.1,-0.01,-1.44,0.1
RedSox,Pirates,D,-0.092592593,-145.9,2.9,-0.025,-2.58,0.4
RedSox,Rays,W,-0.154320988,-130,6.1,-0.039,0.1,2.2
Astros,Phillies,W,-0.080246914,-139.5,-0.4,-0.007,-0.92,-1.1
Yankees,Braves,L,-0.09615827,-63.6,0.4,0.003,-3.15,0.7
Cardinals,Marlins,L,-0.040180968,-73.8,-1.4,0.008,1.47,-0.6
BlueJays,Twins,W,-0.185185185,-41.5,0.9,0.003,-1.3,1.2
Royals,Rangers,W,0.086419753,70.1,-0.2,0.001,-1.93,-0.1
Padres,Mariners,L,0.111111111,117.1,-4.3,0.024,1.36,-1.9
WhiteSox,Reds,W,-0.061728395,-50.4,0.1,-0.001,-0.11,0
Indians,Dodgers,L,-0.022122537,-47.4,1.2,-0.013,1.74,-0.1
Rockies,Cubs,W,0.172839506,99.3,-0.2,-0.019,3.03,-2.1
Brewers,Rockies,L,0.012345679,16.1,-4.2,0.031,1.32,-1.1
Tigers,Orioles,L,0.015221225,3.5,0.4,-0.011,-0.02,-0.7
RedSox,Twins,W,-0.209876543,-145.9,4.4,-0.031,-2.41,1.3
Yankees,Tigers,W,0.015642972,61.5,1.7,0.015,-2.62,3.2
Pirates,Rays,L,-0.061728395,15.9,3.2,-0.014,2.68,1.8
Cardinals,Yankees,L,-0.012345679,-66.1,-1.6,-0.003,2.28,-1.9
Braves,Orioles,W,0.127022468,128.6,1.7,0.001,0.51,1.8
Reds,Indians,W,0.164097845,109.3,-0.9,0.006,2.55,-0.3
Cubs,Mets,L,-0.098765432,-80.4,0.2,-0.01,-0.87,-0.8
Brewers,Astros,L,0.067901235,59.3,-2.1,0.003,3.56,-1.8
Angels,Dodgers,L,0.104938272,7.9,5,-0.011,5.92,3.9
Athletics,Giants,W,0.111111111,77.9,-1.3,0.012,1.48,-0.1
Rays,Braves,D,0.002607162,-98.2,-4.5,0.012,-2.39,-3.3
Rays,Tigers,W,0.114408404,26.9,-3.2,0.024,-1.86,-0.8
Brewers,Astros,W,0.067901235,59.3,-2.1,0.003,3.56,-1.8
Mets,Cubs,L,0.098765432,80.4,-0.2,0.01,0.87,0.8
Orioles,Phillies,L,-0.111111111,-158.5,1.3,-0.016,1.12,-0.3
Twins,Nationals,W,0.222222222,20.4,-2.6,0.005,4.03,-2.1
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Yankees,Marlins,L,-0.027835289,-7.7,0.2,0.011,-0.81,1.3
Indians,Rangers,L,0.002568821,-44.2,-0.2,0,-3.98,-0.2
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022,-0.58,1.8
Rockies,Mariners,D,0.067901235,81.7,-0.6,-0.016,0.98,-2.2
Angels,Dodgers,L,0.104938272,7.9,5,-0.011,5.92,3.9
Athletics,Giants,W,0.111111111,77.9,-1.3,0.012,1.48,-0.1
Twins,Nationals,D,0.222222222,20.4,-2.6,0.005,4.03,-2.1
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Yankees,Marlins,W,-0.027835289,-7.7,0.2,0.011,-0.81,1.3
Reds,Pirates,L,0.061728395,52.2,0.2,0.001,-0.69,0.3
Indians,Rangers,L,0.002568821,-44.2,-0.2,0,-3.98,-0.2
Mariners,Rockies,L,-0.067901235,-81.7,0.6,0.016,-0.98,2.2
WhiteSox,Padres,L,-0.061728395,-49.5,4,-0.022,-0.58,1.8
Giants,Athletics,W,-0.111111111,-77.9,1.3,-0.012,-1.48,0.1
Dodgers,Angels,W,-0.104938272,-7.9,-5,0.011,-5.92,-3.9
Cubs,Angels,W,-0.179012346,-81.6,-4.7,0.004,-4.57,-4.3
Cardinals,Pirates,W,-0.049382716,-47.4,0.1,0.002,-1.16,0.3
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Mets,Royals,W,-0.037037037,-60.2,-1.1,0.015,-1.57,0.4
Giants,Brewers,L,-0.086419753,-35.5,7.8,-0.014,-2.19,6.4
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Mariners,Rangers,W,0.055555556,-52.9,-0.7,0.003,-2.32,-0.4
Phillies,Reds,W,-0.018518519,60,-1.9,0.016,-1.23,-0.3
Nationals,Braves,L,-0.164059505,-102.7,-0.2,-0.001,-3.91,-0.3
Dodgers,Padres,L,-0.141975309,-61,3.6,-0.014,-4.76,2.2
BlueJays,Rays,L,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Cubs,Angels,L,-0.179012346,-81.6,-4.7,0.004,-4.57,-4.3
WhiteSox,Athletics,L,-0.055555556,-72.6,-2,-0.011,-0.81,-3.1
Astros,Yankees,L,0,-46,-3.8,0.005,0.6,-3.3
RedSox,Indians,L,0.009776858,-88.8,1.8,-0.02,0.66,-0.2
Mets,Royals,L,-0.037037037,-60.2,-1.1,0.015,-1.57,0.4
Cardinals,Pirates,W,-0.049382716,-47.4,0.1,0.002,-1.16,0.3
Tigers,Marlins,L,-0.043478261,-69.2,-1.5,-0.004,1.81,-1.9
BlueJays,Rays,W,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Mariners,Rangers,L,0.055555556,-52.9,-0.7,0.003,-2.32,-0.4
Giants,Brewers,L,-0.086419753,-35.5,7.8,-0.014,-2.19,6.4
Cubs,Angels,L,-0.179012346,-81.6,-4.7,0.004,-4.57,-4.3
WhiteSox,Athletics,L,-0.055555556,-72.6,-2,-0.011,-0.81,-3.1
Dodgers,Padres,L,-0.141975309,-61,3.6,-0.014,-4.76,2.2
BlueJays,Rays,W,-0.12962963,-25.6,2.6,-0.005,1.21,2.1
Giants,Brewers,W,-0.086419753,-35.5,7.8,-0.014,-2.19,6.4
Mariners,Rangers,L,0.055555556,-52.9,-0.7,0.003,-2.32,-0.4
Tigers,Marlins,L,-0.043478261,-69.2,-1.5,-0.004,1.81,-1.9
RedSox,Indians,W,0.009776858,-88.8,1.8,-0.02,0.66,-0.2
Astros,Yankees,W,0,-46,-3.8,0.005,0.6,-3.3
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Cardinals,Pirates,W,-0.049382716,-47.4,0.1,0.002,-1.16,0.3
Phillies,Reds,W,-0.018518519,60,-1.9,0.016,-1.23,-0.3
Nationals,Braves,L,-0.164059505,-102.7,-0.2,-0.001,-3.91,-0.3
Dodgers,Padres,L,-0.141975309,-61,3.6,-0.014,-4.76,2.2
WhiteSox,Athletics,W,-0.055555556,-72.6,-2,-0.011,-0.81,-3.1
Phillies,Reds,W,-0.018518519,60,-1.9,0.016,-1.23,-0.3
WhiteSox,Athletics,L,-0.055555556,-72.6,-2,-0.011,-0.81,-3.1
Astros,Yankees,W,0,-46,-3.8,0.005,0.6,-3.3
Marlins,Nationals,L,0.095736523,46.8,0.4,-0.007,1.57,-0.3
Dodgers,Giants,W,-0.024691358,-6.2,-3.7,0.009,-3.51,-2.8
Twins,Orioles,W,0.185185185,46.3,-1.1,0.005,0.63,-0.6
Rangers,Angels,W,-0.12962963,-11.1,-3.6,-0.002,-0.2,-3.8
Yankees,Tigers,W,0.015642972,61.5,1.7,0.015,-2.62,3.2
Phillies,Mets,W,0.098765432,115.2,-1.7,0.006,0.84,-1.1
Indians,WhiteSox,L,-0.10236945,-58.9,0.8,-0.005,-2.44,0.3
Padres,Rockies,L,0.043209877,35.4,-3.7,0.04,0.38,0.3
Rays,Orioles,W,0.12962963,30.4,-2.8,0.013,-1.88,-1.5
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Pirates,Reds,L,-0.061728395,-52.2,-0.2,-0.001,0.69,-0.3
Cardinals,Braves,L,-0.108503949,-129.7,-1.2,0,-0.87,-1.2
Astros,Brewers,W,-0.067901235,-59.3,2.1,-0.003,-3.56,1.8
Twins,Royals,W,0.135802469,-57.2,-2.6,0.01,1.02,-1.6
Rangers,Angels,L,-0.12962963,-11.1,-3.6,-0.002,-0.2,-3.8
Athletics,Mariners,L,0.104938272,140.2,1.7,0.013,1.59,3
Dodgers,Giants,W,-0.024691358,-6.2,-3.7,0.009,-3.51,-2.8
RedSox,BlueJays,L,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Yankees,Tigers,L,0.015642972,61.5,1.7,0.015,-2.62,3.2
Pirates,Reds,W,-0.061728395,-52.2,-0.2,-0.001,0.69,-0.3
Indians,WhiteSox,W,-0.10236945,-58.9,0.8,-0.005,-2.44,0.3
Dodgers,Giants,L,-0.024691358,-6.2,-3.7,0.009,-3.51,-2.8
Astros,Brewers,L,-0.067901235,-59.3,2.1,-0.003,-3.56,1.8
Phillies,Mets,L,0.098765432,115.2,-1.7,0.006,0.84,-1.1
Cardinals,Braves,L,-0.108503949,-129.7,-1.2,0,-0.87,-1.2
Twins,Royals,W,0.135802469,-57.2,-2.6,0.01,1.02,-1.6
Padres,Rockies,L,0.043209877,35.4,-3.7,0.04,0.38,0.3
Rangers,Angels,L,-0.12962963,-11.1,-3.6,-0.002,-0.2,-3.8
Athletics,Mariners,L,0.104938272,140.2,1.7,0.013,1.59,3
RedSox,BlueJays,W,-0.024691358,-104.4,3.5,-0.034,-1.11,0.1
Phillies,Mets,L,0.098765432,115.2,-1.7,0.006,0.84,-1.1
Pirates,Reds,W,-0.061728395,-52.2,-0.2,-0.001,0.69,-0.3
Marlins,Nationals,W,0.095736523,46.8,0.4,-0.007,1.57,-0.3
Cardinals,Braves,L,-0.108503949,-129.7,-1.2,0,-0.87,-1.2
Rays,Orioles,W,0.12962963,30.4,-2.8,0.013,-1.88,-1.5
Astros,Brewers,W,-0.067901235,-59.3,2.1,-0.003,-3.56,1.8
Twins,Royals,W,0.135802469,-57.2,-2.6,0.01,1.02,-1.6
Rangers,Angels,W,-0.12962963,-11.1,-3.6,-0.002,-0.2,-3.8
Dodgers,Giants,W,-0.024691358,-6.2,-3.7,0.009,-3.51,-2.8
Athletics,Mariners,L,0.104938272,140.2,1.7,0.013,1.59,3
Padres,Rockies,W,0.043209877,35.4,-3.7,0.04,0.38,0.3
Pirates,Tigers,L,0.052680009,42.8,0,0.01,0.82,1
Orioles,RedSox,L,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Padres,Phillies,L,0.018518519,-60.9,-2,0.005,1.7,-1.5
WhiteSox,Twins,L,-0.117283951,1.8,1.8,-0.006,-0.63,1.2
Brewers,Cardinals,W,0.080246914,79.4,-4.3,0.011,1.88,-3.2
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017,0.13,-0.2
Reds,Cubs,W,0.216049383,135.6,0,0,2.94,0
Royals,Astros,W,0.018518519,84.5,3.2,-0.014,1.65,1.8
Angels,Athletics,L,-0.030864198,-76.2,2.6,-0.014,0.93,1.2
Rangers,Mariners,L,-0.055555556,52.9,0.7,-0.003,2.32,0.4
Pirates,Tigers,W,0.052680009,42.8,0,0.01,0.82,1
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Padres,Phillies,W,0.018518519,-60.9,-2,0.005,1.7,-1.5
Yankees,BlueJays,L,0.030864198,60.2,2.3,-0.004,-1.97,1.9
Orioles,RedSox,L,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Indians,Rays,W,-0.164097845,-41.2,4.3,-0.019,-0.56,2.4
Marlins,Mets,L,0.046353807,29.4,1.5,-0.017,0.13,-0.2
Royals,Astros,L,0.018518519,84.5,3.2,-0.014,1.65,1.8
Giants,Rockies,L,-0.074074074,-19.4,3.6,0.017,-0.87,5.3
Angels,Athletics,L,-0.030864198,-76.2,2.6,-0.014,0.93,1.2
Rangers,Mariners,L,-0.055555556,52.9,0.7,-0.003,2.32,0.4
Marlins,Mets,W,0.046353807,29.4,1.5,-0.017,0.13,-0.2
Angels,Athletics,L,-0.030864198,-76.2,2.6,-0.014,0.93,1.2
Rangers,Mariners,W,-0.055555556,52.9,0.7,-0.003,2.32,0.4
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Tigers,Pirates,L,-0.052680009,-42.8,0,-0.01,-0.82,-1
Padres,Phillies,W,0.018518519,-60.9,-2,0.005,1.7,-1.5
Yankees,BlueJays,W,0.030864198,60.2,2.3,-0.004,-1.97,1.9
Orioles,RedSox,W,0.024691358,99.6,-3.3,0.026,1.78,-0.7
Indians,Rays,L,-0.164097845,-41.2,4.3,-0.019,-0.56,2.4
Reds,Cubs,W,0.216049383,135.6,0,0,2.94,0
WhiteSox,Twins,L,-0.117283951,1.8,1.8,-0.006,-0.63,1.2
Royals,Astros,L,0.018518519,84.5,3.2,-0.014,1.65,1.8
Brewers,Cardinals,L,0.080246914,79.4,-4.3,0.011,1.88,-3.2
Giants,Rockies,W,-0.074074074,-19.4,3.6,0.017,-0.87,5.3
Tigers,Pirates,L,-0.052680009,-42.8,0,-0.01,-0.82,-1
Padres,Phillies,W,0.018518519,-60.9,-2,0.005,1.7,-1.5
WhiteSox,Twins,L,-0.117283951,1.8,1.8,-0.006,-0.63,1.2
Indians,Rays,L,-0.164097845,-41.2,4.3,-0.019,-0.56,2.4
Brewers,Cardinals,W,0.080246914,79.4,-4.3,0.011,1.88,-3.2
Giants,Rockies,W,-0.074074074,-19.4,3.6,0.017,-0.87,5.3
Braves,Nationals,W,0.164059505,102.7,0.2,0.001,3.91,0.3
Yankees,BlueJays,W,0.030864198,60.2,2.3,-0.004,-1.97,1.9
Orioles,Rangers,W,0.037037037,-33.4,-1.7,0.006,-1.54,-1.1
Reds,Cubs,W,0.216049383,135.6,0,0,2.94,0
Royals,Astros,L,0.018518519,84.5,3.2,-0.014,1.65,1.8
Rockies,Cubs,L,0.172839506,99.3,-0.2,-0.019,3.03,-2.1
Brewers,Pirates,L,0.030864198,32,-4.2,0.013,0.72,-2.9
Mariners,Yankees,L,-0.012345679,-84.5,-1.1,-0.007,1.86,-1.8
Nationals,Phillies,L,-0.148148148,-132.6,2.8,-0.016,-2.28,1.2
Braves,Marlins,L,0.068322981,55.9,-0.2,0.008,2.34,0.6
WhiteSox,Rays,L,-0.061728395,17.7,3.5,-0.014,1.88,2.1
Mets,Indians,L,0.046813895,54.1,-1.1,0.016,0.48,0.5
BlueJays,RedSox,W,0.024691358,104.4,-3.5,0.034,1.11,-0.1
Orioles,Rangers,L,0.037037037,-33.4,-1.7,0.006,-1.54,-1.1
Tigers,Astros,W,-0.015642972,-15.5,2.1,-0.02,2.02,0.1
Angels,Twins,W,-0.092592593,-1.8,6.4,-0.009,1.11,5.5
Reds,Cardinals,W,0.111111111,99.6,0.1,-0.001,0.47,0
Royals,Athletics,L,-0.074074074,-17.2,-1.2,-0.015,-1.2,-2.7
Giants,Dodgers,W,0.024691358,6.2,3.7,-0.009,3.51,2.8
Mariners,Yankees,L,-0.012345679,-84.5,-1.1,-0.007,1.86,-1.8
Angels,Twins,W,-0.092592593,-1.8,6.4,-0.009,1.11,5.5
Reds,Cardinals,L,0.111111111,99.6,0.1,-0.001,0.47,0
Rockies,Cubs,W,0.172839506,99.3,-0.2,-0.019,3.03,-2.1
Royals,Athletics,W,-0.074074074,-17.2,-1.2,-0.015,-1.2,-2.7
BlueJays,RedSox,W,0.024691358,104.4,-3.5,0.034,1.11,-0.1
Mets,Indians,W,0.046813895,54.1,-1.1,0.016,0.48,0.5
WhiteSox,Rays,W,-0.061728395,17.7,3.5,-0.014,1.88,2.1
Brewers,Pirates,W,0.030864198,32,-4.2,0.013,0.72,-2.9
Nationals,Phillies,L,-0.148148148,-132.6,2.8,-0.016,-2.28,1.2
Braves,Marlins,L,0.068322981,55.9,-0.2,0.008,2.34,0.6
Tigers,Astros,L,-0.015642972,-15.5,2.1,-0.02,2.02,0.1
Orioles,Rangers,W,0.037037037,-33.4,-1.7,0.006,-1.54,-1.1
Giants,Dodgers,L,0.024691358,6.2,3.7,-0.009,3.51,2.8
Mariners,Yankees,W,-0.012345679,-84.5,-1.1,-0.007,1.86,-1.8
Braves,Marlins,L,0.068322981,55.9,-0.2,0.008,2.34,0.6
WhiteSox,Rays,W,-0.061728395,17.7,3.5,-0.014,1.88,2.1
Mets,Indians,L,0.046813895,54.1,-1.1,0.016,0.48,0.5
Brewers,Pirates,W,0.030864198,32,-4.2,0.013,0.72,-2.9
BlueJays,RedSox,L,0.024691358,104.4,-3.5,0.034,1.11,-0.1
Nationals,Phillies,W,-0.148148148,-132.6,2.8,-0.016,-2.28,1.2
Tigers,Astros,W,-0.015642972,-15.5,2.1,-0.02,2.02,0.1
Angels,Twins,W,-0.092592593,-1.8,6.4,-0.009,1.11,5.5
Reds,Cardinals,W,0.111111111,99.6,0.1,-0.001,0.47,0
Rockies,Cubs,L,0.172839506,99.3,-0.2,-0.019,3.03,-2.1
Royals,Athletics,W,-0.074074074,-17.2,-1.2,-0.015,-1.2,-2.7
Giants,Dodgers,W,0.024691358,6.2,3.7,-0.009,3.51,2.8
BlueJays,RedSox,L,0.024691358,104.4,-3.5,0.034,1.11,-0.1
Mets,Phillies,L,-0.098765432,-115.2,1.7,-0.006,-0.84,1.1
Rockies,Reds,L,-0.043209877,-36.3,-0.2,-0.019,0.09,-2.1
Nationals,Marlins,W,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Cubs,Cardinals,L,-0.104938272,-36,0.1,-0.001,-2.47,0
Angels,WhiteSox,L,0.024691358,-3.6,4.6,-0.003,1.74,4.3
Brewers,Twins,W,-0.086419753,32,-2.7,0.007,0.89,-2
Brewers,Twins,L,-0.086419753,32,-2.7,0.007,0.89,-2
Mariners,Indians,W,0.052986734,-8.7,-0.5,0.003,1.66,-0.2
Mets,Phillies,L,-0.098765432,-115.2,1.7,-0.006,-0.84,1.1
Athletics,Yankees,L,0.092592593,55.7,0.6,0.006,3.45,1.2
BlueJays,Orioles,L,0,4.8,-0.2,0.008,-0.67,0.6
Rockies,Reds,W,-0.043209877,-36.3,-0.2,-0.019,0.09,-2.1
Dodgers,Braves,W,-0.139368147,-92,-1.4,0.006,-4.69,-0.8
Rays,RedSox,L,0.154320988,130,-6.1,0.039,-0.1,-2.2
Nationals,Marlins,L,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Tigers,Royals,W,-0.034161491,-100,-1.1,-0.006,0.37,-1.7
Astros,Rangers,W,0.067901235,-14.4,-3.4,0.015,-3.58,-1.9
Angels,WhiteSox,W,0.024691358,-3.6,4.6,-0.003,1.74,4.3
Cubs,Cardinals,L,-0.104938272,-36,0.1,-0.001,-2.47,0
Pirates,Padres,W,-0.061728395,-51.3,3.7,-0.022,0.22,1.5
Rockies,Reds,W,-0.043209877,-36.3,-0.2,-0.019,0.09,-2.1
Cubs,Cardinals,W,-0.104938272,-36,0.1,-0.001,-2.47,0
Angels,WhiteSox,W,0.024691358,-3.6,4.6,-0.003,1.74,4.3
Mariners,Indians,L,0.052986734,-8.7,-0.5,0.003,1.66,-0.2
Mets,Phillies,W,-0.098765432,-115.2,1.7,-0.006,-0.84,1.1
Athletics,Yankees,L,0.092592593,55.7,0.6,0.006,3.45,1.2
BlueJays,Orioles,W,0,4.8,-0.2,0.008,-0.67,0.6
Dodgers,Braves,L,-0.139368147,-92,-1.4,0.006,-4.69,-0.8
Rays,RedSox,W,0.154320988,130,-6.1,0.039,-0.1,-2.2
Nationals,Marlins,L,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Tigers,Royals,L,-0.034161491,-100,-1.1,-0.006,0.37,-1.7
Astros,Rangers,W,0.067901235,-14.4,-3.4,0.015,-3.58,-1.9
Twins,Brewers,W,0.086419753,-32,2.7,-0.007,-0.89,2
Pirates,Padres,W,-0.061728395,-51.3,3.7,-0.022,0.22,1.5
Dodgers,Braves,L,-0.139368147,-92,-1.4,0.006,-4.69,-0.8
Mariners,Indians,L,0.052986734,-8.7,-0.5,0.003,1.66,-0.2
Nationals,Marlins,W,-0.095736523,-46.8,-0.4,0.007,-1.57,0.3
Rays,RedSox,L,0.154320988,130,-6.1,0.039,-0.1,-2.2
Twins,Brewers,L,0.086419753,-32,2.7,-0.007,-0.89,2
Angels,WhiteSox,L,0.024691358,-3.6,4.6,-0.003,1.74,4.3
Athletics,Yankees,L,0.092592593,55.7,0.6,0.006,3.45,1.2
BlueJays,Orioles,W,0,4.8,-0.2,0.008,-0.67,0.6
Cubs,Reds,L,-0.216049383,-135.6,0,0,-2.94,0
Tigers,Royals,W,-0.034161491,-100,-1.1,-0.006,0.37,-1.7
Astros,Rangers,W,0.067901235,-14.4,-3.4,0.015,-3.58,-1.9
Pirates,Padres,L,-0.061728395,-51.3,3.7,-0.022,0.22,1.5
Twins,Nationals,W,0.222222222,20.4,-2.6,0.005,4.03,-2.1
Rays,Yankees,W,0.098765432,-34.6,-4.9,0.009,0.76,-4
Athletics,BlueJays,L,0.12345679,115.9,2.9,0.002,1.48,3.1
Cubs,Reds,L,-0.216049383,-135.6,0,0,-2.94,0
Indians,Tigers,L,-0.049689441,-14.3,1.1,0.005,-2.42,1.6
Mets,Braves,L,-0.114676789,-85.3,-1.3,0.009,-2.47,-0.4
RedSox,Astros,L,-0.055555556,-118.6,5,-0.035,0.26,1.5
Phillies,Brewers,L,0.012345679,80.2,2.5,0.004,-2.64,2.9
Rangers,WhiteSox,W,-0.104938272,-14.7,1,-0.005,1.54,0.5
Orioles,Royals,W,-0.049382716,-103.5,-1.5,0.005,0.39,-1
Dodgers,Rockies,W,-0.098765432,-25.6,-0.1,0.026,-4.38,2.5
Mariners,Angels,L,-0.074074074,-64,-4.3,0.001,-2.52,-4.2
Marlins,Giants,W,0.046353807,29.9,-2.1,-0.005,-1.16,-2.6
Cardinals,Padres,W,-0.111111111,-98.7,3.8,-0.02,-0.94,1.8
Twins,Nationals,W,0.222222222,20.4,-2.6,0.005,4.03,-2.1
Rays,Yankees,W,0.098765432,-34.6,-4.9,0.009,0.76,-4
Athletics,BlueJays,W,0.12345679,115.9,2.9,0.002,1.48,3.1
Indians,Tigers,L,-0.049689441,-14.3,1.1,0.005,-2.42,1.6
Rangers,WhiteSox,W,-0.104938272,-14.7,1,-0.005,1.54,0.5
RedSox,Astros,W,-0.055555556,-118.6,5,-0.035,0.26,1.5
Cubs,Reds,W,-0.216049383,-135.6,0,0,-2.94,0
Mets,Braves,L,-0.114676789,-85.3,-1.3,0.009,-2.47,-0.4
Phillies,Brewers,L,0.012345679,80.2,2.5,0.004,-2.64,2.9
Orioles,Royals,L,-0.049382716,-103.5,-1.5,0.005,0.39,-1
Dodgers,Rockies,L,-0.098765432,-25.6,-0.1,0.026,-4.38,2.5
Cardinals,Padres,L,-0.111111111,-98.7,3.8,-0.02,-0.94,1.8
Marlins,Giants,W,0.046353807,29.9,-2.1,-0.005,-1.16,-2.6
Mariners,Angels,W,-0.074074074,-64,-4.3,0.001,-2.52,-4.2
Rays,Yankees,L,0.098765432,-34.6,-4.9,0.009,0.76,-4
Athletics,BlueJays,W,0.12345679,115.9,2.9,0.002,1.48,3.1
Cubs,Reds,L,-0.216049383,-135.6,0,0,-2.94,0
Indians,Tigers,L,-0.049689441,-14.3,1.1,0.005,-2.42,1.6
Twins,Nationals,W,0.222222222,20.4,-2.6,0.005,4.03,-2.1
Mets,Braves,L,-0.114676789,-85.3,-1.3,0.009,-2.47,-0.4
Phillies,Brewers,W,0.012345679,80.2,2.5,0.004,-2.64,2.9
Rangers,WhiteSox,W,-0.104938272,-14.7,1,-0.005,1.54,0.5
Orioles,Royals,W,-0.049382716,-103.5,-1.5,0.005,0.39,-1
Mariners,Angels,L,-0.074074074,-64,-4.3,0.001,-2.52,-4.2
Marlins,Giants,L,0.046353807,29.9,-2.1,-0.005,-1.16,-2.6
Dodgers,Rockies,L,-0.098765432,-25.6,-0.1,0.026,-4.38,2.5
Cardinals,Padres,L,-0.111111111,-98.7,3.8,-0.02,-0.94,1.8
RedSox,Astros,L,-0.055555556,-118.6,5,-0.035,0.26,1.5
WhiteSox,BlueJays,L,0.067901235,43.3,0.9,-0.009,0.67,0
Orioles,Rays,W,-0.12962963,-30.4,2.8,-0.013,1.88,1.5
RedSox,Braves,L,-0.151713826,-228.2,1.6,-0.027,-2.29,-1.1
Reds,Mets,W,0.117283951,55.2,0.2,-0.01,2.07,-0.8
Athletics,Tigers,W,0.108235565,117.2,2.3,0.021,0.83,4.4
Yankees,Rangers,L,0.067901235,31.6,0.4,0.01,-4.18,1.4
Indians,Twins,W,-0.219653401,-57.1,2.6,-0.011,-3.07,1.5
